Id,Sex,Age,Industry,Constellation,sentiment,Sentiment
1051122,female,17,Student,Libra,,0.032622037399434665
1052611,male,23,Student,Aries,,0.10104607938375976
1054833,female,24,,Scorpio,,0.038970756874962674
1055228,female,16,Student,Cancer,,0.05812623295247218
1056232,female,17,,Aquarius,,0.021963087105095445
1056581,female,26,,Leo,,0.012724367494104336
105748,female,26,Student,Scorpio,,0.09289898140314468
1057539,female,33,Telecommunications,Pisces,,0.07454885959322997
1057945,female,26,,Leo,,0.06636699753696423
1058543,female,24,,Sagittarius,,0.11660729528160876
1060087,male,27,Arts,Leo,,0.04984336178650088
1060727,female,23,,Aries,,0.10837244729907773
106160,female,27,Student,Sagittarius,,0.058058359618094135
1062652,female,25,,Aries,,0.05021197465728715
1063313,female,16,Student,Libra,,0.07788405229533256
1065973,female,23,,Virgo,,0.140554380076852
1066127,male,23,Technology,Taurus,,0.10349449320823366
106651,male,25,,Leo,,0.0455674426703481
1067319,male,26,Non-Profit,Aries,,0.06164996259404154
106738,male,25,Internet,Leo,,0.059306236954471674
1068622,male,24,Government,Aquarius,,0.09046715172484877
1068893,male,25,,Leo,,0.0705900044396317
1070326,male,24,Government,Aquarius,,0.06943842615717616
1070540,female,36,Technology,Scorpio,,0.06614709624252092
1073035,female,45,Education,Cancer,,0.060943362193362195
1074721,male,23,Student,Aquarius,,0.10991291864453628
1075230,male,17,Student,Cancer,,0.0496277878097823
1076134,female,25,Arts,Gemini,,0.10941419799939353
1076363,male,40,Communications-Media,Pisces,,0.03172615962768222
1077758,male,24,Student,Scorpio,,0.02310382658157622
1077954,male,26,,Gemini,,0.10545051188335575
1078077,female,38,Arts,Aries,,0.1896097693128295
1078410,male,16,,Cancer,,0.11648750590857732
1079521,female,24,,Capricorn,,0.06614063360251415
108212,female,27,Student,Taurus,,0.09270510575486732
1083777,male,27,Technology,Libra,,0.13521209999151176
1084212,female,35,,Capricorn,,0.09621898686510831
1084668,female,15,Student,Capricorn,,0.07101313801788185
1084944,female,26,Arts,Leo,,0.028608679458679457
1086142,female,24,Arts,Leo,,0.010735691365275525
1086405,male,25,Manufacturing,Taurus,,0.07051530257371998
1087356,female,23,,Virgo,,0.05206634974121676
108780,female,25,,Leo,,0.014921521867818461
1088145,male,26,,Capricorn,,0.07369065903452274
1088782,male,27,Engineering,Aquarius,,0.04580221594642194
1089137,female,17,,Taurus,,0.07227102111609333
1089661,female,26,,Libra,,0.06764978788679174
1089670,female,17,Student,Sagittarius,,-0.003519927699615204
1090235,female,17,,Aquarius,,0.10158074044011545
1090547,male,14,Religion,Capricorn,,0.052963584710743805
1091067,male,24,Technology,Cancer,,0.03386978248089359
1091544,male,36,,Pisces,,0.07409415681126083
1091574,female,15,Student,Taurus,,0.03928129918362571
1091912,female,14,Student,Leo,,0.03928129918362571
1092135,female,17,,Leo,,0.026901340894988433
1092346,female,16,,Gemini,,0.07610281570924916
1093457,male,16,Technology,Virgo,,0.0722306645976199
1093691,male,17,Technology,Taurus,,0.0722306645976199
1094221,female,23,Education,Leo,,0.059869690265784155
109656,male,36,LawEnforcement-Security,Pisces,,0.07911723429991517
1097617,female,25,Communications-Media,Sagittarius,,0.076636963763132
1097941,female,25,Marketing,Pisces,,0.1120743436670856
1098293,male,25,Engineering,Leo,,0.05832768915876227
1098541,male,15,,Capricorn,,0.07799477502092436
1100515,female,17,Student,Aries,,0.05532809902205282
1101683,female,16,Arts,Libra,,0.09736870128087179
1102011,male,15,Student,Sagittarius,,-0.014213001504550396
1103016,male,16,Student,Gemini,,-0.022567971695497895
1103084,male,34,Education,Pisces,,0.09459136686305086
1103171,female,25,,Aries,,0.038693797621875074
1103575,female,17,,Scorpio,,0.06993148466604227
1104980,male,23,Sports-Recreation,Sagittarius,,0.10269283163877008
1105342,female,33,Internet,Gemini,,0.09693565540917733
1107146,female,16,Student,Libra,,0.053372243804394634
1107975,male,17,Student,Pisces,,0.01925498451413086
1108003,male,36,Internet,Pisces,,0.1263400372775373
110854,male,25,,Virgo,,0.06570565025252526
1110091,male,36,Technology,Virgo,,0.1730241661276144
1110189,male,23,,Aries,,0.061127172023636656
1110391,male,27,Law,Cancer,,0.04785425228195565
1110574,female,23,Arts,Aquarius,,0.06484448834736743
1111991,female,33,,Taurus,,0.1562715604242215
1112526,female,24,,Sagittarius,,0.06096611196571888
1112708,female,17,,Cancer,,0.099013815071052
1112886,female,15,Student,Capricorn,,0.03485441473375624
1113052,female,25,,Cancer,,0.01578629854050267
1113541,male,26,,Aries,,0.041474588111012844
1113692,female,25,Non-Profit,Gemini,,0.03632508782825238
1114816,male,47,Technology,Pisces,,0.06894214400507112
1115374,male,17,,Scorpio,,0.06076962091692455
1117055,female,17,Student,Aquarius,,0.07903938816655968
1117656,male,17,,Pisces,,0.10844284466183382
1119280,female,27,,Gemini,,0.05059309370347543
1119650,female,23,Student,Cancer,,0.07603968630673004
1119851,male,17,,Virgo,,0.21844702982202982
112265,female,23,,Taurus,,0.07968684263267597
11253,male,26,Technology,Aquarius,,0.14787416287416288
1125373,male,17,Student,Taurus,,0.07894671909964303
1125433,male,48,Military,Aquarius,,0.07693225292490537
1125459,female,16,,Libra,,0.06999646228039648
1125546,male,27,Law,Aries,,0.0777480764880829
1127124,male,25,,Gemini,,0.0364184822117703
1130595,male,16,,Sagittarius,,0.05705941983531728
1131329,male,13,,Leo,,0.09532509200025477
1131517,female,17,,Gemini,,0.0799804414209083
1131982,male,24,Government,Libra,,0.04923894566811353
1132409,female,41,,Taurus,,0.09989108025165717
113390,male,24,Museums-Libraries,Gemini,,0.13024832014963594
1134486,male,45,,Aquarius,,0.10683673527423526
1135325,male,27,Science,Libra,,0.14013997113997112
1135724,male,34,Internet,Cancer,,0.04260142321285332
1135804,male,33,,Libra,,0.14433793574846207
1136785,male,17,Student,Pisces,,0.04837185346223635
1137273,male,16,Student,Aquarius,,0.061210586798822096
1137547,female,15,Arts,Scorpio,,0.10852364066193852
1138306,female,17,,Gemini,,0.07932385075242211
1142598,male,24,,Aquarius,,0.008779217021404514
1143104,male,23,Student,Gemini,,0.07535076801361738
1143324,male,26,Internet,Virgo,,0.07928777951502945
1144172,male,17,,Libra,,0.04764439814304887
1145753,male,25,,Virgo,,0.050972747372550704
114645,male,17,Student,Virgo,,0.0695959013160475
1146482,female,33,,Virgo,,0.07214311165667765
1149009,male,25,Technology,Gemini,,0.06065208919223517
1149422,female,34,Publishing,Scorpio,,0.06490477617505253
1149997,female,27,,Leo,,0.045692099176053415
1151815,male,25,Education,Leo,,0.019439976498056594
1152012,female,16,,Leo,,0.02887013306427369
1153868,male,14,,Gemini,,0.03367922288669711
1155029,female,17,Student,Leo,,0.061276915000542165
1155573,male,23,,Leo,,0.07869446397783467
1156278,male,37,Internet,Taurus,,0.07123019102669476
1157144,female,17,Student,Libra,,0.057668405478852144
1157178,female,26,,Gemini,,0.09797167332541482
1157338,male,25,Technology,Virgo,,0.08055468057462623
1157658,male,25,,Leo,,0.045265960890960896
1158355,male,15,Student,Leo,,0.058440110987671656
1158868,female,24,Student,Leo,,0.030253136899121562
1159057,male,25,Advertising,Scorpio,,0.0615979289168456
1160168,male,25,Science,Aries,,0.10454584467830373
1162051,female,23,LawEnforcement-Security,Scorpio,,0.0873304591732622
1162265,male,17,Student,Aries,,0.03992977661889509
1163257,female,24,,Gemini,,0.07414372677975618
1163948,female,24,,Capricorn,,0.05347695764627834
1164965,male,16,Student,Virgo,,0.12517913040350687
1166708,female,26,Arts,Aquarius,,0.055667224443880184
1169141,male,33,Arts,Capricorn,,0.09980392239478705
1169202,male,26,Science,Libra,,0.08246419179111487
1169580,female,44,Technology,Taurus,,0.16429767058338487
1170834,female,27,Communications-Media,Sagittarius,,0.07445351640840361
1171545,female,17,Non-Profit,Cancer,,0.06170518393064665
1171643,male,16,,Scorpio,,0.03790442502395897
1173156,male,24,,Virgo,,0.050636622575692736
1174200,male,17,,Libra,,0.06330432502526749
11762,female,25,Student,Aries,,0.09222400419475836
1178497,female,23,,Libra,,0.03809584737493593
1178991,male,24,Technology,Virgo,,0.2333392326627621
1180158,male,23,Consulting,Gemini,,0.10398334078405375
1180573,female,26,Education,Sagittarius,,0.03631437653691814
1183666,male,23,Internet,Aries,,0.006247017826563279
1184801,male,23,Internet,Aries,,0.11290406045459933
1185193,female,17,Student,Leo,,0.07669531104836545
1187430,male,23,Internet,Capricorn,,0.10869970109255823
118791,male,33,Internet,Virgo,,0.1353176906294448
1188176,female,35,Education,Leo,,0.09880421892096937
1190695,male,16,Student,Virgo,,0.09953995930969614
1192293,male,25,Student,Cancer,,0.03973381263449469
1193364,female,16,,Aries,,0.047486819451806696
1194367,female,17,Law,Scorpio,,0.06793734646995517
1195073,female,15,Student,Libra,,0.07357745226167936
1196077,male,36,Communications-Media,Taurus,,0.020828366429370897
1196970,male,16,,Sagittarius,,0.01893679884073403
1197086,male,16,Student,Aries,,0.10677867657034322
1197361,female,34,,Taurus,,0.10690153611866221
1197937,female,23,Student,Scorpio,,0.07718219378477548
1198592,female,24,Accounting,Pisces,,0.06742228747721936
1199195,male,26,LawEnforcement-Security,Taurus,,0.09465394307287872
1199948,male,16,,Libra,,0.06235319822373393
1202874,male,16,Student,Capricorn,,0.08496068182271559
1203229,male,24,Internet,Scorpio,,0.04498869983456923
1204495,male,17,Student,Leo,,0.07509586887100013
1205193,female,15,,Scorpio,,0.11300502552610492
1207055,male,15,Arts,Aquarius,,0.027542735664325087
1207422,female,40,Law,Gemini,,0.08663388033057237
1208187,male,17,,Pisces,,0.04418186273231454
1208423,male,23,Engineering,Aries,,0.07105548469387755
1209241,male,25,Government,Virgo,,0.1112714720559264
1209613,female,35,,Capricorn,,0.08204608007900914
1209865,female,33,Architecture,Virgo,,0.04791766989721726
1211557,male,16,Student,Virgo,,0.08448809810119334
1211653,male,24,BusinessServices,Taurus,,0.10350013697828492
1214462,male,37,,Virgo,,0.13419368990797562
1216517,male,24,Education,Leo,,0.05790681742300459
1217528,male,26,Advertising,Libra,,0.07875988746540895
1217864,male,24,Non-Profit,Virgo,,0.09470518296323331
1220898,male,34,,Taurus,,0.12512013855023138
1221843,male,24,,Taurus,,0.0832115280478305
122217,male,37,,Leo,,0.08872509529217998
1222749,male,37,,Capricorn,,0.0844301430585061
1223044,male,16,,Sagittarius,,0.039408531712566974
1223561,male,23,Engineering,Cancer,,0.0834414505459026
1224894,female,25,Student,Sagittarius,,0.0803909376996942
1225020,female,16,HumanResources,Scorpio,,0.07361744820185541
1225595,female,16,,Virgo,,-0.017591222684317682
1225881,male,17,Internet,Scorpio,,0.02044438390756884
1226756,male,23,Technology,Leo,,0.09481663481663481
1229858,male,24,,Leo,,0.07023343515159797
1230289,female,24,Internet,Aries,,0.08708665697645308
1231280,male,23,Student,Libra,,0.07693390084320911
1231380,male,15,,Aquarius,,0.11266953959888744
1231400,female,24,,Cancer,,-0.03499952145360309
1231733,female,24,Communications-Media,Cancer,,0.09487392349734823
1232234,female,23,Communications-Media,Taurus,,0.16116202346041056
1232458,female,38,,Cancer,,0.11561011904761904
1233335,male,25,BusinessServices,Sagittarius,,0.06306698213725329
1233687,male,35,Consulting,Aquarius,,0.07205417742882891
1233897,male,17,Technology,Virgo,,0.08115281756110171
1233956,female,17,,Libra,,0.12506982971182
1234212,male,27,,Taurus,,0.06959181855385178
1234631,female,17,,Aquarius,,0.0906121919183206
1234709,female,17,Student,Leo,,0.045131990684273454
123532,male,39,Advertising,Aries,,0.08510477412064714
1236636,male,24,Arts,Cancer,,0.12391583994943173
1237310,male,38,Arts,Taurus,,0.24243914219732432
1238294,female,33,,Leo,,0.05220348011363637
1238388,male,17,Student,Cancer,,0.059808511792341305
1239610,male,17,,Scorpio,,0.006281722630347766
1240274,male,23,Communications-Media,Gemini,,0.03699008917821929
1240631,male,41,Communications-Media,Libra,,0.05772474923498772
1241231,male,37,Technology,Aries,,0.026253828107766698
1241488,female,24,Publishing,Aries,,0.06249558987357995
1241641,male,17,Student,Capricorn,,0.06404471608207642
1242619,female,15,Arts,Capricorn,,0.12296464951106124
1242759,female,16,Arts,Aquarius,,0.04027676943041526
1244732,female,15,,Leo,,0.1499656472083714
1245629,male,23,Technology,Gemini,,0.10826022418544712
1245805,male,26,,Gemini,,0.08563133293414983
1246193,male,17,Student,Gemini,,0.04248415377755947
1246850,male,33,Internet,Capricorn,,0.1454226466800325
1247134,male,25,Transportation,Cancer,,0.1254955248092503
1248360,male,42,,Gemini,,0.07460847312409813
1250730,male,26,,Cancer,,0.060087729730586875
1251358,female,23,,Virgo,,0.04293560606060606
1252171,male,14,Student,Sagittarius,,0.02844281596001023
1252620,female,16,Fashion,Pisces,,0.03644675499448769
1253219,female,27,,Sagittarius,,0.03629825806087231
1254400,male,34,Religion,Leo,,0.16113591269841268
1255416,male,17,Student,Taurus,,0.029655213152104235
1255453,male,17,Consulting,Aquarius,,0.07224653909252124
1255893,male,14,Student,Leo,,0.0704809871795594
1256321,female,25,,Leo,,0.051762496324107704
1258907,female,15,Student,Taurus,,0.028637384366733503
1259041,female,17,Non-Profit,Taurus,,0.059254375697194835
1259179,female,15,Student,Libra,,0.13289206766527192
1261185,male,25,Technology,Sagittarius,,0.10963480159282399
1261450,male,27,Internet,Aquarius,,0.06936746031746031
1261679,female,16,,Gemini,,0.02507386793338643
1262059,male,16,Student,Leo,,0.0496277878097823
1263465,male,16,Technology,Scorpio,,0.10263197248860247
1263794,female,17,Student,Cancer,,0.08525961022397964
1264160,male,23,Arts,Pisces,,0.10207443091800437
1266177,male,38,Internet,Taurus,,0.1894918503213958
1266795,female,16,Student,Taurus,,0.09325978471912628
1266843,female,24,Communications-Media,Pisces,,0.0540694763484635
1266861,male,23,Non-Profit,Scorpio,,0.08035529352316356
1267773,male,24,Student,Pisces,,0.07025898026057464
1268682,male,35,,Pisces,,0.11095360904857128
1269873,male,39,,Aquarius,,0.05483349584883568
1270372,female,33,Manufacturing,Aries,,0.048803336698138675
1270648,female,23,,Scorpio,,0.0824588789675132
1273229,male,25,Internet,Cancer,,0.0751945339816353
1273538,male,23,Advertising,Taurus,,0.0855787545455062
1274152,female,34,,Scorpio,,0.05433533352173746
1274171,male,36,,Gemini,,0.07443891777150305
1274353,female,17,Student,Leo,,0.11700757351410336
1274564,female,40,Internet,Sagittarius,,0.058423227540172325
1274852,female,27,,Pisces,,0.08421159683833614
1274993,male,44,,Gemini,,0.11729982460245618
1276007,male,44,,Libra,,0.07844989631413472
1277039,male,33,Government,Sagittarius,,0.02856941218221706
1278138,female,26,Education,Pisces,,0.14447019415559648
1279026,male,16,,Virgo,,-0.013813303099017384
1279436,male,34,,Pisces,,0.08279733424470267
1280497,male,26,Technology,Taurus,,0.09063947225753928
1281160,male,24,Technology,Sagittarius,,0.10098859057086687
1283349,male,16,Student,Aries,,0.06411932876940109
1283465,female,24,,Leo,,0.043796479569305324
1284157,female,16,Student,Scorpio,,0.057916913815351315
1284564,female,16,,Pisces,,0.06599293594489247
1284681,male,25,Tourism,Gemini,,0.036748490799065434
1284920,female,15,,Virgo,,0.07190308079296115
1286861,female,24,Student,Cancer,,0.1113477647972849
1288068,female,23,Education,Sagittarius,,0.04457227415739769
1288281,female,27,Law,Aries,,0.0280413605524113
1288571,male,26,Technology,Leo,,0.06002570430034074
1289910,male,17,,Scorpio,,0.08854298780306011
1290874,female,24,Non-Profit,Taurus,,0.05810166995052278
129253,female,26,HumanResources,Cancer,,0.014954489954489954
1292625,female,14,,Taurus,,0.06163672044819566
1293280,male,25,Automotive,Cancer,,0.0457070764911054
1293340,male,24,,Pisces,,0.10521612323875876
1295657,female,23,Publishing,Scorpio,,0.0851594924585996
1295671,female,26,Education,Virgo,,0.09195401663561431
1295754,female,47,,Gemini,,0.08700303554470223
1295794,female,26,,Sagittarius,,0.1071598124098124
1296081,female,45,Technology,Virgo,,0.06668933990719281
1296098,male,24,Sports-Recreation,Leo,,0.03634810767241024
1296370,female,13,,Leo,,0.08740811461810603
1296542,female,27,,Pisces,,0.06100090082740283
1297806,female,23,,Aquarius,,0.09288519246245783
1298624,male,25,Technology,Aries,,0.07722564273313828
1298865,female,39,,Aquarius,,0.0786869488536155
1302378,female,24,,Sagittarius,,0.17946302833703626
1302874,male,46,,Leo,,0.05913824302937206
1304142,female,17,,Pisces,,0.04764901724959259
1304379,female,16,Student,Leo,,0.05468390252038211
1304830,female,14,Education,Libra,,0.03245250611934744
1305545,male,34,,Aquarius,,0.07372940716690717
1306027,female,16,Student,Pisces,,0.0705754404490372
1306088,male,27,,Sagittarius,,0.043152229034581976
1306985,female,26,Telecommunications,Leo,,0.10993756011495137
1307203,female,23,Student,Aries,,0.07272649948546363
1308633,male,17,,Cancer,,0.020556607879629096
1308868,male,26,Communications-Media,Cancer,,0.07423162074421459
1309251,male,23,Technology,Libra,,0.005950377024965041
1310522,female,26,Communications-Media,Sagittarius,,0.0342729435509273
1311927,female,23,Arts,Aries,,0.06199572515151332
1315210,male,23,Student,Aries,,0.040259340753068876
1315669,female,23,Student,Virgo,,0.004489648964008393
1316364,female,24,Student,Cancer,,0.10704759375094501
1316855,male,25,Arts,Sagittarius,,0.08301592393912709
1317513,male,17,Arts,Scorpio,,0.10104059439490494
1317518,female,23,Marketing,Leo,,0.0974990961429365
1319486,female,15,Student,Virgo,,0.03891325060715466
1320783,male,25,Telecommunications,Aquarius,,0.14644636137283196
1322112,male,34,,Capricorn,,0.12308729263892308
1325355,female,26,,Cancer,,0.07925096028959848
1325536,female,16,Student,Virgo,,0.10650461740005007
1325807,female,25,,Pisces,,0.08593036529680365
1325894,female,17,,Cancer,,0.02738529743825088
132808,male,24,Technology,Gemini,,0.06261398968973743
1328709,male,25,,Gemini,,0.10050103607175179
132894,female,26,,Aries,,0.04218716979299481
1329603,male,16,Student,Libra,,0.061432317904154723
1329752,male,24,Technology,Taurus,,0.058765044348446364
1330002,male,13,,Sagittarius,,0.12279224150719478
1330888,female,36,,Pisces,,0.12056264592676567
1334172,male,24,,Sagittarius,,0.1497085336972676
1334247,female,17,Student,Libra,,0.1159021599676631
1334361,female,15,,Libra,,0.07790325071801522
1334509,female,23,Accounting,Taurus,,0.05919658355645764
1335327,male,27,,Gemini,,0.07559077843118667
1335479,male,37,Religion,Cancer,,0.09837041936174361
1335883,male,27,Arts,Libra,,0.09882491119991119
133604,female,23,,Capricorn,,0.060842859102190595
1336804,female,24,Law,Taurus,,0.052118122526538364
1337805,female,17,Student,Aquarius,,0.06622869973505463
1338710,male,25,Arts,Libra,,0.0843354087293921
1340343,female,16,Student,Taurus,,0.041155094755440186
1340794,male,26,Science,Scorpio,,0.056378598849230833
1341658,male,15,Student,Cancer,,0.061375660093677155
1341988,female,24,Marketing,Cancer,,0.060540327084338236
1343387,female,23,,Aries,,0.08696650779771517
1343573,male,25,,Libra,,0.0817573039100817
1345466,female,24,Communications-Media,Aquarius,,0.10971466558893203
1347923,male,36,Advertising,Taurus,,0.04705080536648178
1348691,female,36,Consulting,Gemini,,0.049650680658392864
1350027,female,16,Student,Scorpio,,0.03216481158029141
1350461,male,25,,Cancer,,0.09580431823078882
1351689,male,37,,Leo,,0.060181279641692446
1352717,female,36,Education,Sagittarius,,0.03377114054768165
1352859,female,26,,Sagittarius,,0.0321532273752184
1355143,male,23,Student,Gemini,,0.09606805230121293
1357293,female,25,BusinessServices,Aries,,0.03673737873314506
1357961,female,27,,Gemini,,0.0238354487392949
135888,male,23,Banking,Libra,,0.10832399223852576
1359229,male,17,Education,Taurus,,0.046782131834215174
1359631,male,26,Internet,Cancer,,0.09691011188779908
1360300,male,34,Tourism,Libra,,0.1701556328820244
1360750,female,35,Arts,Leo,,0.1685510283925777
1361398,female,26,,Cancer,,0.15308221672507388
1362051,female,16,Tourism,Aries,,0.010050709209157408
1362978,female,27,Education,Leo,,0.09799786890064668
1363208,male,25,Technology,Aquarius,,0.04719310388295188
1363719,female,36,Education,Taurus,,0.14047900260291
1364511,female,27,Arts,Leo,,0.1109580476062777
1365227,male,27,,Taurus,,0.049062175028855785
1365296,male,25,Student,Taurus,,0.07266544252505956
1365875,female,27,,Gemini,,0.06746931843085689
1366447,male,34,,Libra,,0.0343939393939394
1366896,female,17,Student,Aries,,0.1037160948997884
1366984,female,25,Technology,Aries,,-0.008712803604949625
1369564,male,16,Non-Profit,Aquarius,,0.05205976749550232
1371155,female,23,Education,Scorpio,,0.10425042970497517
1373040,female,40,,Cancer,,0.12498759920634925
1374061,male,34,,Gemini,,0.09126783502542431
1374867,female,13,,Aquarius,,0.03740128152756635
137626,male,24,,Gemini,,0.10646791657583024
1377580,female,24,,Capricorn,,0.051124929455460606
1378761,male,16,Student,Libra,,0.067538350382711
1379288,female,35,HumanResources,Aries,,0.0629041947903776
1380515,male,40,,Aquarius,,0.09183488464040919
1380619,male,34,,Taurus,,0.03817769532055246
1381293,male,16,Internet,Sagittarius,,0.029929830937478096
1381825,female,16,,Scorpio,,0.0918484639741998
1382294,female,16,,Aries,,0.06811098555583849
1382785,male,23,,Scorpio,,0.0973771721475803
1383163,male,26,Technology,Cancer,,0.10125784215784214
1383289,female,14,Student,Libra,,0.020123504820134412
1384161,male,25,Communications-Media,Scorpio,,0.13255325330191198
1386800,female,45,Non-Profit,Pisces,,0.0810611284389107
1388402,female,15,Student,Capricorn,,-0.0006404161777993555
1390302,female,26,Student,Leo,,0.06374497622793689
1390907,female,37,Telecommunications,Leo,,0.05477213889360116
1391421,female,41,,Pisces,,0.07996302672289703
1391636,female,26,Religion,Cancer,,0.09648685933653582
1392111,female,34,,Leo,,0.031776819923371655
1392379,female,25,,Leo,,0.058732525120139795
1392567,female,24,,Cancer,,0.09066689701096917
1392976,male,23,,Scorpio,,0.05365590146436184
1393814,female,13,,Gemini,,0.08601637030022447
1394735,male,38,Technology,Capricorn,,0.031831981870605465
1395849,female,23,Non-Profit,Leo,,0.09464506908376157
1395900,male,27,,Taurus,,0.0814802288460096
1396260,female,23,,Cancer,,0.17909356191992562
1397914,male,41,,Sagittarius,,0.07589077674822056
1399489,male,17,Student,Virgo,,0.21169082929397084
1400059,male,23,Education,Pisces,,0.017095323566057696
1400705,male,26,Communications-Media,Capricorn,,0.07060774193559599
1401178,female,23,Student,Pisces,,0.05357925355652949
1401402,female,23,Student,Capricorn,,0.08245885306529223
1401460,female,27,Communications-Media,Libra,,0.08446637765354754
1401816,male,40,,Pisces,,0.11122903763151752
1402277,female,23,Agriculture,Pisces,,0.055275289226591307
1403830,male,15,Student,Taurus,,0.02165084117651643
1404145,male,17,Religion,Cancer,,0.1251495834605696
1404301,female,24,Student,Libra,,0.19791625278016875
1405024,female,24,,Cancer,,0.042167187108584546
1405766,male,24,HumanResources,Scorpio,,0.05154254933265974
1405870,female,26,,Cancer,,0.0605527419614545
1406453,female,17,Student,Capricorn,,0.08323934489620763
1406988,male,23,Telecommunications,Sagittarius,,0.08951115507756133
1407084,male,17,Student,Leo,,0.09009217275910583
1407268,male,23,,Taurus,,0.08071823846816802
1409146,female,27,Communications-Media,Libra,,0.051918401075371115
1409492,female,40,Technology,Taurus,,0.05627743013413112
1409523,male,17,Student,Scorpio,,0.0423585990470625
1410011,female,16,,Libra,,0.04975576092528203
1412504,male,33,Internet,Taurus,,0.1382410465892609
1413196,male,24,Engineering,Pisces,,0.060012678954384745
1414354,male,24,Non-Profit,Leo,,0.08182305262864134
1415200,female,15,Student,Libra,,0.04135250836633746
1416208,female,23,BusinessServices,Sagittarius,,0.13705036111206767
1416900,male,25,,Cancer,,0.1532450076804915
1417015,male,15,Student,Libra,,0.015836327656764165
1417798,female,35,,Scorpio,,0.13496570583219733
141799,female,25,Advertising,Pisces,,0.027305835012973775
1418167,female,17,Student,Gemini,,0.08025521906958837
1420041,male,17,,Cancer,,0.06415433571393891
1421166,male,16,Student,Leo,,0.08682585899766677
1423400,male,17,Student,Virgo,,0.04271597673160173
1425758,male,24,Technology,Capricorn,,0.10136004151710779
1425881,female,14,,Sagittarius,,0.051656108302305125
1425932,male,25,Publishing,Aries,,0.09829738666960708
1427070,female,25,,Gemini,,0.05175977249672918
1427339,female,17,,Libra,,0.12130420760475905
1427811,male,46,Education,Virgo,,0.09633641062352
1428082,male,38,Communications-Media,Leo,,0.0693725167178901
1428697,male,33,,Virgo,,0.09674707764130068
1428880,male,27,,Aquarius,,0.0567301097744399
1429060,male,17,Student,Cancer,,0.03947380472774634
